date	close
01-02-1997	42.63 
01-03-1997	43.38 
01-06-1997	44 
01-07-1997	43.75 
01-08-1997	43.75 
01-09-1997	43.88 
01-10-1997	44.13 
01-13-1997	45 
01-14-1997	44.75 
01-15-1997	44.38 
01-16-1997	44.25 
01-17-1997	45 
01-20-1997	44.75 
01-21-1997	44.5 
01-22-1997	43.5 
01-23-1997	43 
01-24-1997	42.13 
01-27-1997	41.13 
01-28-1997	40.25 
01-29-1997	41 
01-30-1997	41.25 
01-31-1997	41.25 
02-03-1997	41.13 
02-04-1997	41.13 
02-05-1997	41 
02-06-1997	41.13 
02-07-1997	41 
02-10-1997	40.75 
02-11-1997	41.13 
02-12-1997	42 
02-13-1997	42.25 
02-14-1997	42.38 
02-18-1997	42.38 
02-19-1997	42 
02-20-1997	41.13 
02-21-1997	41.63 
02-24-1997	41.25 
02-25-1997	41.13 
02-26-1997	40.75 
02-27-1997	39.88 
02-28-1997	39.88 
03-03-1997	39.75 
03-04-1997	40.25 
03-05-1997	40.25 
03-06-1997	40.13 
03-07-1997	40.13 
03-10-1997	40.13 
03-11-1997	40.13 
03-12-1997	40.63 
03-13-1997	40.25 
03-14-1997	40.75 
03-17-1997	40.38 
03-18-1997	39.63 
03-19-1997	39.25 
03-20-1997	40 
03-21-1997	41 
03-24-1997	40.13 
03-25-1997	39.75 
03-26-1997	39.5 
03-27-1997	38.63 
03-31-1997	38.13 
04-01-1997	38 
04-02-1997	38 
04-03-1997	37.25 
04-04-1997	37 
04-07-1997	37.63 
04-08-1997	37.25 
04-09-1997	37.13 
04-10-1997	37 
04-11-1997	35.88 
04-14-1997	37.5 
04-15-1997	37.13 
04-16-1997	37 
04-17-1997	37 
04-18-1997	37.13 
04-21-1997	37 
04-22-1997	37.25 
04-23-1997	37 
04-24-1997	37.13 
04-25-1997	36.88 
04-28-1997	37 
04-29-1997	37 
04-30-1997	37.63 
05-01-1997	38.25 
05-02-1997	39.25 
05-05-1997	39.75 
05-06-1997	39.75 
05-07-1997	39.5 
05-08-1997	40.25 
05-09-1997	40.75 
05-12-1997	41.38 
05-13-1997	41.25 
05-14-1997	40.88 
05-15-1997	40.5 
05-16-1997	40.63 
05-19-1997	40.63 
05-20-1997	40.88 
05-21-1997	40.5 
05-22-1997	40.25 
05-23-1997	40.25 
05-27-1997	40.13 
05-28-1997	40.88 
05-29-1997	40.63 
05-30-1997	40.75 
06-02-1997	40 
06-03-1997	40.5 
06-04-1997	40.25 
06-05-1997	40.38 
06-06-1997	40.88 
06-09-1997	40.88 
06-10-1997	40.75 
06-11-1997	41.25 
06-12-1997	41.63 
06-13-1997	42.38 
06-16-1997	41.88 
06-17-1997	41.5 
06-18-1997	41.5 
06-19-1997	41 
06-20-1997	40.25 
06-23-1997	39.88 
06-24-1997	39.13 
06-25-1997	39.88 
06-26-1997	40.13 
06-27-1997	40.19 
06-30-1997	40.81 
07-01-1997	41.44 
07-02-1997	41.75 
07-03-1997	41.94 
07-07-1997	41.38 
07-08-1997	41.88 
07-09-1997	41.13 
07-10-1997	41 
07-11-1997	40.88 
07-14-1997	40.25 
07-15-1997	39 
07-16-1997	38.25 
07-17-1997	38.94 
07-18-1997	38.5 
07-21-1997	37.94 
07-22-1997	38.38 
07-23-1997	38.19 
07-24-1997	38.63 
07-25-1997	38.25 
07-28-1997	38 
07-29-1997	37.88 
07-30-1997	37.81 
07-31-1997	37.88 
08-01-1997	37.88 
08-04-1997	37.56 
08-05-1997	38 
08-06-1997	37.56 
08-07-1997	37.13 
08-08-1997	36.88 
08-11-1997	36.75 
08-12-1997	36.25 
08-13-1997	36.44 
08-14-1997	36.25 
08-15-1997	35.63 
08-18-1997	35.81 
08-19-1997	36.69 
08-20-1997	36.94 
08-21-1997	36.25 
08-22-1997	36.75 
08-25-1997	36.94 
08-26-1997	37.56 
08-27-1997	37.56 
08-28-1997	37.81 
08-29-1997	38.5 
09-02-1997	39.25 
09-03-1997	39.81 
09-04-1997	39.63 
09-05-1997	39.06 
09-08-1997	39.38 
09-09-1997	39.88 
09-10-1997	38.88 
09-11-1997	38.06 
09-12-1997	38.75 
09-15-1997	39.5 
09-16-1997	39.75 
09-17-1997	38.94 
09-18-1997	39.13 
09-19-1997	39.06 
09-22-1997	39.31 
09-23-1997	39.19 
09-24-1997	39.56 
09-25-1997	39.19 
09-26-1997	39.06 
09-29-1997	38.94 
09-30-1997	38.5 
10-01-1997	38.81 
10-02-1997	39.5 
10-03-1997	39.13 
10-06-1997	39.69 
10-07-1997	39.56 
10-08-1997	38.81 
10-09-1997	38 
10-10-1997	38.31 
10-13-1997	38.88 
10-14-1997	39.63 
10-15-1997	40.81 
10-16-1997	41.56 
10-17-1997	41.13 
10-20-1997	40.75 
10-21-1997	40.63 
10-22-1997	40.75 
10-23-1997	40.06 
10-24-1997	40.5 
10-27-1997	38.75 
10-28-1997	38.5 
10-29-1997	38.81 
10-30-1997	38 
10-31-1997	38 
11-03-1997	38.5 
11-04-1997	38.31 
11-05-1997	38.25 
11-06-1997	37.44 
11-07-1997	37 
11-10-1997	36.69 
11-11-1997	36.63 
11-12-1997	36.06 
11-13-1997	35.88 
11-14-1997	36.19 
11-17-1997	36.81 
11-18-1997	36.94 
11-19-1997	37.81 
11-20-1997	38.19 
11-21-1997	38.81 
